fly_ash,contribution
-10.0,-3.5169632142514016
0.0,-2.6886468197763733
10.0,-1.8870741948294003
20.0,-1.2008794239692087
30.0,-0.7112964526176413
40.0,-0.4165378480369992
50.0,-0.23959822348025536
60.0,-0.07496245873295034
70.0,0.20788986102838244
80.0,0.7582175001615157
90.0,1.5899265700083083
100.0,2.5132061993076977
110.0,3.383158762286356
120.0,4.18359105953667
130.0,4.878392443462896
140.0,5.361208916590824
150.0,5.644550351062136
160.0,5.7728388142418705
170.0,5.753883448641663
180.0,5.567190344312725
190.0,5.2388038358554745
200.0,4.855036949701064
210.0,4.461644730648532
