date,year,week,cases
1946-06-02,1946,22,665
1946-06-09,1946,23,584
1946-06-16,1946,24,694
1946-06-23,1946,25,484
1946-06-30,1946,26,546
1946-07-07,1946,27,522
1946-07-14,1946,28,468
1946-07-21,1946,29,517
1946-07-28,1946,30,493
1946-08-04,1946,31,548
1946-08-11,1946,32,626
1946-08-18,1946,33,611
1946-08-25,1946,34,646
1946-09-01,1946,35,445
1946-09-08,1946,36,641
1946-09-15,1946,37,796
1946-09-22,1946,38,1015
1946-09-29,1946,39,1244
1946-10-06,1946,40,1512
1946-10-13,1946,41,1538
1946-10-20,1946,42,1475
1946-10-27,1946,43,1407
1946-11-03,1946,44,1869
1946-11-10,1946,45,2147
1946-11-17,1946,46,2461
1946-11-24,1946,47,2366
1946-12-01,1946,48,2865
1946-12-08,1946,49,2947
1946-12-15,1946,50,3439
1946-12-22,1946,51,2660
1946-12-29,1946,52,52
1947-01-05,1947,1,4805
1947-01-12,1947,2,4189
1947-01-19,1947,3,4455
1947-01-26,1947,4,3511
1947-02-02,1947,5,3724
1947-02-09,1947,6,3566
1947-02-16,1947,7,5341
1947-02-23,1947,8,8194
1947-03-02,1947,9,22333
1947-03-09,1947,10,43558
1947-03-16,1947,11,54500
1947-03-23,1947,12,50321
1947-03-30,1947,13,36992
1947-04-06,1947,14,24175
1947-04-13,1947,15,12815
1947-04-20,1947,16,8198
1947-04-27,1947,17,3673
1947-05-04,1947,18,2352
1947-05-11,1947,19,1612
1947-05-18,1947,20,1640
1947-05-25,1947,21,1122
1947-06-01,1947,22,722
1947-06-08,1947,23,607
1947-06-15,1947,24,624
1947-06-22,1947,25,609
1947-06-29,1947,26,481
1947-07-06,1947,27,603
1947-07-13,1947,28,504
1947-07-20,1947,29,585
1947-07-27,1947,30,463
1947-08-03,1947,31,590
1947-08-10,1947,32,422
1947-08-17,1947,33,530
1947-08-24,1947,34,319
1947-08-31,1947,35,714
1947-09-07,1947,36,560
1947-09-14,1947,37,769
1947-09-21,1947,38,1127
1947-09-28,1947,39,1197
1947-10-05,1947,40,1971
1947-10-12,1947,41,1733
1947-10-19,1947,42,1636
1947-10-26,1947,43,1469
1947-11-02,1947,44,1729
1947-11-09,1947,45,2194
1947-11-16,1947,46,2257
1947-11-23,1947,47,3012
1947-11-30,1947,48,3092
1947-12-07,1947,49,4077
1947-12-14,1947,50,3868
1947-12-21,1947,51,3958
1947-12-28,1947,52,392
