date,year,week,cases
1932-03-13,1932,11,12160
1932-03-20,1932,12,8359
1932-03-27,1932,13,9379
1932-04-03,1932,14,7513
1932-04-10,1932,15,5765
1932-04-17,1932,16,4145
1932-04-24,1932,17,3572
1932-05-01,1932,18,2236
1932-05-08,1932,19,1867
1932-05-15,1932,20,1555
1932-05-22,1932,21,943
1932-05-29,1932,22,857
1932-06-05,1932,23,669
1932-06-12,1932,24,566
1932-06-19,1932,25,479
1932-06-26,1932,26,333
1932-07-03,1932,27,365
1932-07-10,1932,28,400
1932-07-17,1932,29,292
1932-07-24,1932,30,322
1932-07-31,1932,31,362
1932-08-07,1932,32,409
1932-08-14,1932,33,415
1932-08-21,1932,34,558
1932-08-28,1932,35,470
1932-09-04,1932,36,495
1932-09-11,1932,37,630
1932-09-18,1932,38,796
1932-09-25,1932,39,800
1932-10-02,1932,40,1094
1932-10-09,1932,41,1194
1932-10-16,1932,42,1539
1932-10-23,1932,43,1421
1932-10-30,1932,44,1758
1932-11-06,1932,45,2105
1932-11-13,1932,46,3735
1932-11-20,1932,47,7503
1932-11-27,1932,48,16930
1932-12-04,1932,49,31886
1932-12-11,1932,50,42935
1932-12-18,1932,51,52799
1932-12-25,1932,52,96155
1933-01-01,1933,1,76002
1933-01-08,1933,2,45148
1933-01-15,1933,3,26941
1933-01-22,1933,4,16384
1933-01-29,1933,5,11981
1933-02-05,1933,6,8367
1933-02-12,1933,7,6613
1933-02-19,1933,8,5311
1933-02-26,1933,9,4281
1933-03-05,1933,10,3744
1933-03-12,1933,11,2886
1933-03-19,1933,12,2685
1933-03-26,1933,13,2222
1933-04-02,1933,14,1711
1933-04-09,1933,15,1618
1933-04-16,1933,16,1214
1933-04-23,1933,17,1350
1933-04-30,1933,18,1046
1933-05-07,1933,19,912
1933-05-14,1933,20,708
1933-05-21,1933,21,607
1933-05-28,1933,22,645
1933-06-04,1933,23,556
1933-06-11,1933,24,399
1933-06-18,1933,25,302
1933-06-25,1933,26,303
1933-07-02,1933,27,335
1933-07-09,1933,28,359
1933-07-16,1933,29,300
1933-07-23,1933,30,361
1933-07-30,1933,31,324
1933-08-06,1933,32,264
1933-08-13,1933,33,291
1933-08-20,1933,34,443
1933-08-27,1933,35,404
1933-09-03,1933,36,457
1933-09-10,1933,37,595
1933-09-17,1933,38,543
1933-09-24,1933,39,694
1933-10-01,1933,40,758
1933-10-08,1933,41,913
1933-10-15,1933,42,838
1933-10-22,1933,43,1188
1933-10-29,1933,44,1091
1933-11-05,1933,45,1200
1933-11-12,1933,46,1255
1933-11-19,1933,47,1396
1933-11-26,1933,48,1784
1933-12-03,1933,49,1721
1933-12-10,1933,50,1642
1933-12-17,1933,51,1355
1933-12-24,1933,52,1381
1934-01-07,1934,1,3103
1934-01-14,1934,2,2256
1934-01-21,1934,3,2549
1934-01-28,1934,4,2835
1934-02-04,1934,5,3156
1934-02-11,1934,6,4227
1934-02-18,1934,7,4094
1934-02-25,1934,8,3794
1934-03-04,1934,9,3376
1934-03-11,1934,10,3126
1934-03-18,1934,11,2615
1934-03-25,1934,12,2437
1934-04-01,1934,13,2418
1934-04-08,1934,14,2007
1934-04-15,1934,15,1438
1934-04-22,1934,16,1478
1934-04-29,1934,17,1226
1934-05-06,1934,18,1062
1934-05-13,1934,19,808
1934-05-20,1934,20,642
1934-05-27,1934,21,682
1934-06-03,1934,22,575
1934-06-10,1934,23,431
1934-06-17,1934,24,385
1934-06-24,1934,25,317
1934-07-01,1934,26,251
1934-07-08,1934,27,258
1934-07-15,1934,28,291
1934-07-22,1934,29,238
1934-07-29,1934,30,350
