date,week,year,cases
1950-09-03,36,1950,874
1950-09-10,37,1950,988
1950-09-17,38,1950,1133
1950-09-24,39,1950,1293
1950-10-01,40,1950,1567
1950-10-08,41,1950,1836
1950-10-15,42,1950,1848
1950-10-22,43,1950,1537
1950-10-29,44,1950,2032
1950-11-05,45,1950,1932
1950-11-12,46,1950,2763
1950-11-19,47,1950,2128
1950-11-26,48,1950,2593
1950-12-03,49,1950,3559
1950-12-10,50,1950,3157
1950-12-17,51,1950,3256
1950-12-24,52,1950,3643
1950-12-31,53,1950,1851
